ID,NAME_AR,NAME_EN,LATITUDE,LONGITUDE
1,تبوك,TABUK,28.4146399670001,36.5338700340001
2,نعمي,NAu0027MI,28.305079946,35.7493100310001
3,الرياض,RIYADH,24.6999999610001,46.7333300320001
4,حميط,HUMAYT,28.6515200140001,35.3801300020002
5,الطائف,AT TAIF,21.2684800490002,40.4166700250001
6,مكة المكرمة,MAKKAH AL MUKARRAMAH,21.427179944000102,39.84349001
7,رجم الطيارة,RAJM AT TAYARAH,29.607519989,37.235560015000004
8,الثميد,ATH THUMAYD,29.931839951,37.1672600210002
9,عسيلة,u0027ASILLAH,29.899390061000098,36.980460058000105
10,حائل,HAIL,27.5305499900001,41.6973300180001
11,بريدة,BURAYDAH,26.33033999,43.974359973999995
12,الهفوف,AL HUFUF,25.3665500300001,49.604359857000105
13,الدمام,DAMMAM,26.44199002,50.109199808
14,المدينة المنورة,AL MADINAH AL MUNAWWARAH,24.4705799620001,39.607810060999995
15,ابها,ABHA,18.2166699970001,42.500000019
16,حالة عمار,HALAT AMMAR,29.163810021000202,36.072059988000106
17,جازان,JAZAN,16.8967199480002,42.5536000090001
18,جدة,JEDDAH,21.488179961,39.1809499510001
19,الشايب,ASH SHAYIB,29.0663099850001,36.680100059
20,الفوهة,AL FAWHAH,28.271680035000102,36.214399943000004
21,اللوز,AL LAWZ,28.436359947,35.52820997500015
22,عين الأخضر,u0027AYN AL AKHDAR,27.5567799780002,36.751010024000095
23,ذات الحاج,DHAT AL HAJJ,29.0549100130002,36.164800007000096
24,المجمعة,AL MAJMAu0027AH,25.9074299640001,45.3390199400002
25,قيال,QIYAL,28.151739955,35.034990006
26,الاخضر,AL AKHDAR,28.1081299730002,37.0819099480001
27,البديعة,AL BADIu0027AH,27.806880022,36.529460059
28,مغيرة,MUGHAYRAH,29.2967699910002,37.6674099560001
29,الهوجاء,AL HAWJAu0027,28.9848500550002,38.56971998100005
30,البديع,AL BADIu0027,29.1110899510001,36.004399965000204
31,الخبر,AL KHOBAR,26.310909972,50.21074974600015
32,ابار قنا,ABAR QANA,27.9445599860001,36.350100015000095
33,الجبعاوية,AL JABu0027AWIYAH,28.2897499460001,38.651390051
34,الحميضة,AL HUMAYDAH,29.2357500030001,34.9387900210002
35,البيانة,AL BAYYANAH,29.1339299700001,35.385699947999996
36,حقل,HAQL,29.301029975000098,34.948630028000096
37,الدرة,AD DURRAH,29.3541400030001,34.961929997
38,الزيتة,AZ ZAYTAH,28.871987992446698,35.5170028518015
39,علقان,u0027ALAQAN,29.052229966,35.4247100420001
40,الوادي الجديد,AL WADI AL JADID,29.1573900070001,35.031549988000094
41,مليح,MULAYH,29.1680499940001,35.4009699460001
